key,sku,unitPrice,name
residential|panel|Wren|Wren|white|1.4,Picket-Wren-White-1.4m,236.0,Panel of White Wren Picket Fencing @ 1.4m
residential|panel|Wren|Wren|white|1.8,Picket-Wren-White-1.8m,350.96,Panel of White Wren Picket Fencing @ 1.8m
residential|panel|Wren|Wren|white|1.6,Picket-Wren-White-1.6m,331.7,Panel of White Wren Picket Fencing @ 1.6m
residential|panel|Wren|Wren|colour|1.8,Picket-Wren-Colour-1.8m,448.0,Panel of Colour Wren Picket Fencing @ 1.8m
residential|panel|Wren|Wren|colour|1.2,Picket-Wren-Colour-1.2m,298.0,Panel of Colour Wren Picket Fencing @ 0.9m
residential|panel|Wren|Wren|colour|0.9,Picket-Wren-Colour-0.9m,257.0,Panel of Colour Wren Picket Fencing @ 1.6m
residential|panel|Wren|Wren|colour|1.6,Picket-Wren-Colour-1.6m,450.47,Panel of Colour Wren Picket Fencing @ 1.6m
residential|panel|Wren|Wren|colour|1.4,Picket-Wren-Colour-1.4m,347.75,Panel of GREY RIDGE Wren Picket Fencing @ 1.4m
rural|panel|Timberline|140|white,Timberline-140x40mm-White,4322.21,Timberline 140x40mm White Fence
rural|other|140|140|colour,Israel 140x40 Colour,36.38,140X40mm Rail Colour
rural|panel|Timberline|150|white,Timberline-150x50mm-White,892.56,Timberline 150x50mm White Fence
rural|panel|Timberline|140|white,Timberline-140x40mm-White,4322.21,Timberline 140x40mm White Fence
rural|panel|Timberline|150|colour,Timberline-150x50mm-Colour,26269.06,Timberline 150x50mm Colour Fence
rural|other|Caviar|Caviar|white|1.4,Caviar,304.89,Caviar white 1.4m high
rural|gate|TLGATE|Caviar||4,TLGATE-Caviar-Double-4.0m,2141.88,Timberline Caviar Double Gate @ 4000mm Wide
rural|gate|TLGATE|Caviar||3,TLGATE-Caviar-Double-3.0m,1921.6,Timberline Caviar Double Gate @ 3000mm Wide
rural|panel|Crossbuck|Crossbuck|colour,Crossbuck-150x50mm-Colour,274.96,Crossbuck 150x50mm Colour Fence
rural|panel|Crossbuck|Crossbuck|white,Crossbuck-150x50mm-White,205.76,Crossbuck 150x50mm White Fence
rural|panel|MeshPanel|Mesh|white,MeshPanel-Colour-88x51mm,167.0,Mesh/ Pharlap Panel 88x51mm Top Rail Colour : TBA
rural|gate|TLGATE|Mesh|white|1.2,TLGATE-Mesh-SIngle-1.2m,1155.85,Timberline Mesh Single Gate @ 1200mm Wide
rural|gate|TLGATE|Mesh|white|1.5,TLGATE-Mesh-Single-1.5m,1282.53,Timberline Mesh Single Gate @ 1500mm Wide
rural|panel|MeshPanel|Mesh|white,MeshPanel-White-88x51mm,150.3,Mesh/ Pharlap Panel 88x51mm Top Rail Col : White
rural|gate|TLGATE|Mesh|white|4,TLGATE-Mesh-Double-4.0m,2627.57,Timberline Mesh Double Gate @ 4000mm Wide
rural|panel|MeshPanel|Mesh|white,MeshPanel-Colour-150x50mm,230.0,Mesh/Pharlap Panel 150x50mm Top Rail Colour : TBA
rural|panel|MeshPanel|Mesh|white,MeshPanel-White-150x50mm,149.0,Mesh/ Pharlap Panel 150x50mm Top Rail Col : White
rural|gate|TLGATE|Mesh|white|4.7,TLGATE-Mesh-Double-4.7m,2211.0,Timberline Mesh Double Gate @ 4700mm Wide
rural|mesh|Mesh|Mesh|white,Mesh-BLK,30.0,Black Powder Coated Mesh
rural|gate|TLGATE|Mesh|white|2.35,TLGATE-Mesh-Single-2.35m,957.0,Timberline Mesh Single Gate @ 2350mm Wide
rural|gate|TLGATE|Mesh|white|3,TLGATE-Mesh-Double-3.0m,2540.43,Timberline Mesh Double Gate @ 3000mm Wide
rural|gate|TLGATE|Mesh|white|0.9,TLGATE-Mesh-Single-0.9m,1101.23,Timberline Mesh Single Gate @ 900mm Wide
rural|gate|TLGATE|Mesh|white|2.4,TLGATE-Mesh-Double-2.4m,2269.34,Timberline Mesh Double Gate @ 2400mm Wide
rural|mesh|Mesh|Mesh|white,Mesh-WHT,194.0,White Powder Coated Mesh
residential|post|Mystique solid|Mystique solid|white|1.8||blank,B-PSL-BNK-02-24,52.5,Mystique Solid & W/Latt Blank Post - 1.8m White
residential|post|Mystique solid|Mystique solid|white|1.8||end,B-MS-PSE-02-24,52.5,Mystique Solid End Post - 1.8m White
residential|post|Mystique solid|Mystique solid|white|1.8||line,B-MS-PSL-02-24,52.5,Mystique Solid Line Post - 1.8m White
residential|post|Mystique solid|Mystique solid|white|1.8||corner,B-MS-PSC-02-24,52.5,Mystique Solid Corner Post - 1.8m White
